run_id,turn,agent_id,CT,P,RD,CGT,CCU,DGT,CDU,agent_name,dept_id,dept_name,community_id
1,1,0,3.9795242809467184,4.184989546718353,3.989061284260956,3.3229223815182563,2.8026100024969534,4.0126452527973475,3.4655338258877224,Sato,0,Superhero Game Planning,0
1,1,1,4.269173235060993,4.088506163432892,,3.0254427225778278,2.90407097107694,3.7077590378041108,3.4486356376450495,Suzuki,0,Superhero Game Planning,0
1,1,2,4.226419505289442,4.159180157498946,,4.655415835888263,2.939996934140679,3.666555603049993,3.231982998871405,Takahashi,0,Superhero Game Planning,1
1,1,3,3.9083718034536017,4.026900579327793,,4.612341837863874,2.0445136147990897,3.775505720857101,1.7964079806954008,Tanaka,0,Superhero Game Planning,2
1,1,4,4.045077306071303,4.028601889686223,3.960450666797539,4.612341837863874,2.0500097980422907,4.3436106208334095,2.292777066234867,Watanabe,0,Superhero Game Planning,2
1,1,5,4.346954112692618,4.033982817022089,,4.655415835888263,2.5538246395066952,4.184089379030478,3.013573730339278,Ito,0,Superhero Game Planning,1
1,1,6,3.935020746926405,4.032507558138902,2.531870612016607,3.0289675194589796,3.73846251156026,2.942585783539085,4.10295246992563,Yamamoto,0,Superhero Game Planning,0
1,1,7,4.1490965115752685,4.075503738316994,2.920912849470699,3.8850036900125353,3.6131532014437724,3.2388636414491807,3.7013861132993147,Nakamura,1,Slice of Life Game Planning,3
1,1,8,4.175520991446419,4.057583047909176,,4.048950736200461,2.6369140431143103,3.6463047469824534,2.585730957776634,Kobayashi,1,Slice of Life Game Planning,3
1,1,9,4.270255083760793,4.194060045568316,,4.087904030479945,3.0543739591283825,3.7512030040509674,3.255320789164256,Kato,1,Slice of Life Game Planning,3
1,1,10,4.1334566887836335,4.009174891282471,3.6521739218313343,4.013214647689764,3.0711912095108485,3.432359933464561,3.1929762300038815,Yoshida,1,Slice of Life Game Planning,4
1,1,11,4.348793338257103,3.440713930783771,3.9102460317559737,4.373766169284736,3.390719250022891,3.367238663832224,3.536258770667953,Yamada,1,Slice of Life Game Planning,4
1,1,12,4.210467357976908,4.015507721896663,3.693393919860626,3.747764065005791,2.4940744089708207,3.6564593928863647,2.5540066751408044,Sasaki,1,Slice of Life Game Planning,4
1,1,13,4.229049458346156,4.073580726086842,3.576204141259023,4.015924373268645,2.496908402250404,3.793663052021244,2.5261841735465103,Yamaguchi,1,Slice of Life Game Planning,3
1,2,0,4.154254280585953,3.3875846948225976,1.6652975407152109,3.214747510741553,3.1483858557641655,3.89812282463792,3.941640905678606,Sato,0,Superhero Game Planning,0
1,2,1,4.054483008465999,4.10759804950718,,3.4714096383681197,2.5109865946991876,4.030826205642122,2.9804272141153656,Suzuki,0,Superhero Game Planning,0
1,2,2,4.291441572809217,2.966500164333616,,4.127389647019948,2.477699469218028,3.8365047919800155,2.660576105068068,Takahashi,0,Superhero Game Planning,1
1,2,3,4.0506475239365365,3.0461374323169426,,4.28815119472449,1.9363572267987559,4.05140061810071,1.89379131935212,Tanaka,0,Superhero Game Planning,2
1,2,4,4.048792540419692,4.148314018863745,1.9046620527267168,4.28815119472449,2.521506811820469,3.7798897007501515,2.6641812502317213,Watanabe,0,Superhero Game Planning,2
1,2,5,4.229566882673598,4.075585304210957,,4.127389647019948,2.668479861496531,3.9207927222004764,3.059875003448755,Ito,0,Superhero Game Planning,1
1,2,6,2.557804267547922,4.113470251933733,,2.303888763251817,3.7698778311797976,2.2673214049574226,3.7806867208883816,Yamamoto,0,Superhero Game Planning,0
1,2,7,4.29967787931741,4.170329695523744,2.9754770030302264,3.749765946706345,2.852661890785373,3.833453386441208,3.182577340911706,Nakamura,1,Slice of Life Game Planning,3
1,2,8,4.096097929155782,4.096065857637473,3.9128371680424268,4.1646770126209605,2.517240052225234,4.056022690879228,2.7163579470949744,Kobayashi,1,Slice of Life Game Planning,3
1,2,9,4.488957120206868,4.047235360503747,4.022716823070809,3.89204816640652,3.10508657343438,3.6423541042235894,3.318406551495111,Kato,1,Slice of Life Game Planning,3
1,2,10,4.21186939903643,3.1051741556027244,,4.081923397411254,2.511535012383338,4.192531800351096,2.945461306214398,Yoshida,1,Slice of Life Game Planning,4
1,2,11,4.0915000171862514,3.450890766298095,,4.205097144327922,2.7168863851467604,4.216589913788512,3.253585061527084,Yamada,1,Slice of Life Game Planning,4
1,2,12,4.17641181459352,4.249697533773137,3.857584430957542,3.7729540821893,3.046220640011386,3.3462789196330767,3.1485989133635863,Sasaki,1,Slice of Life Game Planning,4
1,2,13,4.243295899045965,4.016355224163185,4.030864098350634,4.138443562362571,2.2272392944516612,4.176046254967366,2.4161913981761565,Yamaguchi,1,Slice of Life Game Planning,3
1,3,0,4.019127732060752,4.0601764746886015,3.5939353683798547,4.376989340626317,2.2322761337921198,4.363091765619733,2.568515626311297,Sato,0,Superhero Game Planning,0
1,3,1,3.620921361300738,2.2125577699755787,,4.29183892455977,2.469329474147935,4.247098395075499,2.8659338195658193,Suzuki,0,Superhero Game Planning,0
1,3,2,4.39042585283771,3.0858421631339183,3.7874587986449466,4.496693651361986,2.5917578163915427,4.018371676581352,2.9592328864035204,Takahashi,0,Superhero Game Planning,1
1,3,3,3.9860305163069207,2.969175831573654,,4.274570373919831,1.7873954538579273,4.0366186603342795,1.6276981477687107,Tanaka,0,Superhero Game Planning,2
1,3,4,4.1871455934773305,4.0307062380452745,,4.274570373919831,2.110765129104688,3.9493359083830093,2.1072323750906397,Watanabe,0,Superhero Game Planning,2
1,3,5,3.863411149853486,3.0110888242259928,,4.496693651361986,2.470093903448331,3.912465050564435,2.65988907048637,Ito,0,Superhero Game Planning,1
1,3,6,4.200335236064864,2.4451846862341498,,4.281436036211289,3.4852548770806266,2.9393109352782862,3.344399598162005,Yamamoto,0,Superhero Game Planning,0
1,3,7,4.317309651635316,4.115711292763717,3.23263844222272,3.9059242333430455,3.033262890378547,3.6546815407239177,3.2204207782999767,Nakamura,1,Slice of Life Game Planning,3
