run_id,pattern_id,turn,agent_id,agent_name,dept,dept_id,position,psychological_safety,task_cohesion
1,1,1,0,Sato,Superhero Game Planning,0,General Member,5.449147831,5.597209626895538
1,1,1,1,Suzuki,Superhero Game Planning,0,General Member,5.454982572664651,5.6272909694765305
1,1,1,2,Takahashi,Superhero Game Planning,0,General Member,5.260016476170736,5.717735466815698
1,1,1,3,Tanaka,Superhero Game Planning,0,General Member,5.198830103022098,5.619658066672097
1,1,1,4,Watanabe,Superhero Game Planning,0,General Member,5.242198082982749,5.813091713817912
1,1,1,5,Ito,Superhero Game Planning,0,General Member,5.425623714560364,5.699219898979116
1,1,1,6,Yamamoto,Superhero Game Planning,0,Department Leader,5.419516890916897,5.646206292198968
1,1,1,7,Nakamura,Slice of Life Game Planning,1,General Member,5.042294024,5.557853822120953
1,1,1,8,Kobayashi,Slice of Life Game Planning,1,General Member,5.163972696243815,5.696304045737316
1,1,1,9,Kato,Slice of Life Game Planning,1,General Member,5.3959092312344925,5.846647197280647
1,1,1,10,Yoshida,Slice of Life Game Planning,1,General Member,5.067114216741183,5.065454337485711
1,1,1,11,Yamada,Slice of Life Game Planning,1,General Member,5.411744378561113,5.807275702197312
1,1,1,12,Sasaki,Slice of Life Game Planning,1,General Member,5.257522798436256,5.570122431682711
1,1,1,13,Yamaguchi,Slice of Life Game Planning,1,Department Leader,5.190072595854613,5.259527358213228
1,1,2,0,Sato,Superhero Game Planning,0,General Member,5.510322922513628,5.660943391456007
1,1,2,1,Suzuki,Superhero Game Planning,0,General Member,5.377277371422414,5.579305918909689
1,1,2,2,Takahashi,Superhero Game Planning,0,General Member,5.119996783090399,5.7723685
1,1,2,3,Tanaka,Superhero Game Planning,0,General Member,5.158308786131539,5.691126770561218
1,1,2,4,Watanabe,Superhero Game Planning,0,General Member,5.36028023,5.584336548
1,1,2,5,Ito,Superhero Game Planning,0,General Member,5.269293438491972,5.699420916279159
1,1,2,6,Yamamoto,Superhero Game Planning,0,Department Leader,5.409559763088823,5.533592278132566
1,1,2,7,Nakamura,Slice of Life Game Planning,1,General Member,5.068804504045391,5.339296042567221
1,1,2,8,Kobayashi,Slice of Life Game Planning,1,General Member,5.151653059007019,5.412205478031354
1,1,2,9,Kato,Slice of Life Game Planning,1,General Member,5.361210400561338,5.751822138941346
1,1,2,10,Yoshida,Slice of Life Game Planning,1,General Member,5.339245517448823,5.641293108806768
