run_id,agent_id,pattern_id,dept_id,dept_name,score_Q01,score_Q02,score_Q03,score_Q04,score_Q05,score_Q06,score_Q07,score_Q08,score_Q09,score_Q10,score_Q11,score_Q12,score_Q13,score_Q14,score_Q15,score_Q16,score_Q17,score_Q18,score_Q19,score_Q20,score_Q21,score_Q22,score_Q23,score_ave_all
1,0,1,0,Superhero Game Planning,5.293588117438197,5.118803122563715,5.683513393387584,5.674043157497085,5.7392773829119275,5.153331518472006,5.876896727612257,5.6408499611722185,5.3518553310819,5.268176862413673,4.910843049846196,5.561356857855144,5.738957973772745,5.672910421272612,5.246366780015695,5.709135170161229,5.289540060083496,5.357254489315274,4.130794544995802,5.45583465638,5.829625568050997,5.770911155396837,5.701164601612387,5.442392647969957
1,1,1,0,Superhero Game Planning,5.046611171653717,5.537893846293571,4.855986723435125,5.474914654623962,5.671091108129094,4.835379900318217,5.743332895489313,5.489167092258064,5.715133555068151,5.344521654434585,5.613610841664737,4.922237529420997,5.597165106855278,5.155443414311353,5.109923246935413,5.806387609282838,4.516653294521534,5.473092986180635,4.00687785235214,5.58452454606109,5.334249919848931,5.615971173543953,5.606125319637538,5.3067954540139235
1,2,1,0,Superhero Game Planning,5.095281210219801,5.137162486627436,4.964824956932144,5.591140733042464,5.619793450776448,4.537916197420989,5.737805564338762,5.5084716176690325,4.651025759560192,5.081084501225682,4.950361905655494,5.540218553720527,5.6238031881520705,5.6008616035651055,5.150660882168915,5.533180733384338,4.261343514162515,5.58319888446502,3.911400132959063,5.6182740576418,5.42013874574364,5.820670254719261,5.196342596198107,5.2232591969716875
1,3,1,0,Superhero Game Planning,4.787539695602067,5.239717653825451,4.442591107188512,5.495682812679603,5.824321303680575,4.60439178087899,5.682761157394057,5.628586771251716,5.740930357346439,5.279599958173133,5.281118368992015,3.8331753034233325,5.553466685601059,5.595308618814309,5.268521556599277,5.850385218381268,4.283375362130003,5.426507444340479,3.7025199012210974,5.5370221355664775,5.78321599996637,5.666459291724137,5.235220027393368,5.206192109224944
1,4,1,0,Superhero Game Planning,4.939125698520495,5.2058140757176705,4.568150663355251,5.454016819452572,5.7117337025107995,4.986737415799494,5.72110078799264,5.618832187907659,5.819786933806514,5.0240891938031655,5.065863876145488,4.839942084012969,5.597066837270007,5.598242174325595,5.266587263289922,5.888659981639272,4.535705263781075,5.305529646099197,3.8585802306467865,5.492966958658174,5.664331665656276,5.813702644352476,5.549952700979532,5.283761687205349
1,5,1,0,Superhero Game Planning,4.915225408062236,5.137428080589889,5.656289554577527,5.636099985597738,5.477393779769778,5.252808910336663,5.731887669732004,5.439103950353312,5.791124127688497,5.503972693384846,5.2880953455801345,5.5384606550375635,5.679420952154418,5.395340659350062,4.997954946319725,5.852277943727613,3.6286386304360088,5.305810202310997,3.883738398919961,5.530512468496347,5.691490887904164,5.45992746084089,5.5545727600918635,5.319459803098359
1,6,1,0,Superhero Game Planning,4.9934246273355125,5.033921972403811,5.263551367628674,5.7019836227815475,5.558943185289305,4.98270367029491,5.72952690376207,5.6622443520813786,5.934348784936521,5.129274267141263,5.429291848100767,4.769697850091411,5.309274538864632,5.537749848208092,5.142558021820902,5.843852374871711,4.29830582413786,5.24124103825332,4.141459575630831,5.390624315742571,5.858015727810369,5.740023507573552,5.46172205728916,5.311032142697833
1,7,1,1,Slice of Life Game Planning,5.154636937233489,5.253965953172909,4.965943663251816,5.383142043719807,5.2446769522567305,5.097052207675758,5.805891434784135,5.364284886220123,5.71178249128284,5.392499086810547,5.2861072663289015,5.337106028231267,5.126640528953664,5.397980521290942,5.020032671986028,5.885368394882853,4.773773776715895,5.058298124938526,3.8643463045577526,5.359815284948646,5.427957354782306,5.518150929028394,5.5804256464412445,5.261299064760634
1,8,1,1,Slice of Life Game Planning,4.639612985904416,5.139559592505492,5.210806758247419,5.317619320629214,5.110179126153126,4.868531300426707,5.4779908758419396,5.565943067765793,5.77967748656752,5.066836822410046,5.465706117460214,4.690647800911807,5.334557479774202,5.3777461451676345,4.983696282702695,5.685592321168134,4.161513317410037,5.242567320918125,4.149356555422152,5.111198760075077,5.549303858097627,5.391564504216872,5.273726118158791,5.156257996431958
1,9,1,1,Slice of Life Game Planning,4.926088394094702,4.9815712450085945,5.065409022564042,5.009634198353334,5.646672111039556,4.8507054417438855,5.398303267877834,5.5248388661858865,5.409184686547409,4.880391203975808,5.352209154238707,5.00036488274344,5.4267374641661466,5.63621793894003,5.403354018143388,5.4611610165592515,4.8992917104495,5.19404581134442,4.012889263773646,5.612425297322817,5.354172376468177,5.306576951606022,5.290098885495778,5.201841009071408
